,AccountStatus,Duration,CreditHistory,Purpose,CreditAmount,Savings,EmploymentDuration,InstallmentRatePercent,PersonalStatusAndSex,OtherDebtors,ResidenceDuration,Property,Age,OtherInstallment,Housing,CreditsInThisBank,Job,NumberOfPeopleLiableToMaintenance,Telephone,Foreign,Decision
408,No account,24,Existing credits paid duly till now,radio/TV,3235,500-1000 DM,employed 7 years or more,3,male divorced/separated,none,2,"car or other, not in attribute 6",26,none,own,1,management/self-employed/highly qualified employee/officer,1,yes,yes,1
409,>=200 DM,12,Has credits in other banks,new car,939,500-1000 DM,employed from 4 to 7 years,4,male married/widowed,none,2,real estate,28,none,own,3,skilled employee/official,1,yes,yes,2
410,<200 DM,24,Existing credits paid duly till now,radio/TV,1967,<100 DM,employed 7 years or more,4,female divorced/separated/married,none,4,"car or other, not in attribute 6",20,none,own,1,skilled employee/official,1,yes,yes,1
411,No account,33,Has credits in other banks,used car,7253,<100 DM,employed from 4 to 7 years,3,male single,none,2,"car or other, not in attribute 6",35,none,own,2,management/self-employed/highly qualified employee/officer,1,yes,yes,1
412,No account,12,Has credits in other banks,business,2292,<100 DM,unemployed,4,male single,none,2,"car or other, not in attribute 6",42,stores,own,2,management/self-employed/highly qualified employee/officer,1,yes,yes,2
413,No account,10,Existing credits paid duly till now,new car,1597,500-1000 DM,employed from 1 to 4 years,3,male single,none,2,unknown/no property,40,none,rent,1,unskilled - resident,2,none,no,1
414,0 DM,24,Existing credits paid duly till now,new car,1381,Unknown/No savings,employed from 1 to 4 years,4,female divorced/separated/married,none,2,building society savings agreement/life insurance,35,none,own,1,skilled employee/official,1,none,yes,2
415,No account,36,Has credits in other banks,used car,5842,<100 DM,employed 7 years or more,2,male single,none,2,building society savings agreement/life insurance,35,none,own,2,skilled employee/official,2,yes,yes,1
416,0 DM,12,Existing credits paid duly till now,new car,2579,<100 DM,employed under 1 year,4,male single,none,1,real estate,33,none,own,1,unskilled - resident,2,none,yes,2
417,0 DM,18,Delay in paying in past,education,8471,Unknown/No savings,employed from 1 to 4 years,1,female divorced/separated/married,none,2,"car or other, not in attribute 6",23,none,rent,2,skilled employee/official,1,yes,yes,1
418,No account,21,Existing credits paid duly till now,new car,2782,500-1000 DM,employed from 4 to 7 years,1,female divorced/separated/married,none,2,"car or other, not in attribute 6",31,bank,own,1,management/self-employed/highly qualified employee/officer,1,none,yes,1
419,<200 DM,18,Existing credits paid duly till now,new car,1042,Unknown/No savings,employed from 1 to 4 years,4,female divorced/separated/married,none,2,building society savings agreement/life insurance,33,none,own,1,skilled employee/official,1,none,yes,2
420,No account,15,Existing credits paid duly till now,new car,3186,>1000 DM,employed from 4 to 7 years,2,female divorced/separated/married,none,3,"car or other, not in attribute 6",20,none,rent,1,skilled employee/official,1,none,yes,1
421,<200 DM,12,Existing credits paid duly till now,used car,2028,Unknown/No savings,employed from 1 to 4 years,4,male single,none,2,"car or other, not in attribute 6",30,none,own,1,skilled employee/official,1,none,yes,1
422,<200 DM,12,Has credits in other banks,new car,958,<100 DM,employed from 4 to 7 years,2,male single,none,3,real estate,47,none,own,2,unskilled - resident,2,none,yes,1
423,No account,21,Delay in paying in past,furnitures,1591,100-500 DM,employed from 4 to 7 years,4,male single,none,3,real estate,34,none,own,2,management/self-employed/highly qualified employee/officer,1,none,yes,1
424,<200 DM,12,Existing credits paid duly till now,furnitures,2762,Unknown/No savings,employed 7 years or more,1,female divorced/separated/married,none,2,building society savings agreement/life insurance,25,bank,own,1,skilled employee/official,1,yes,yes,2
425,<200 DM,18,Existing credits paid duly till now,used car,2779,<100 DM,employed from 1 to 4 years,1,male married/widowed,none,3,"car or other, not in attribute 6",21,none,rent,1,skilled employee/official,1,yes,yes,1
426,No account,28,Has credits in other banks,radio/TV,2743,<100 DM,employed 7 years or more,4,male single,none,2,"car or other, not in attribute 6",29,none,own,2,skilled employee/official,1,none,yes,1
427,No account,18,Has credits in other banks,radio/TV,1149,>1000 DM,employed from 1 to 4 years,4,male single,none,3,real estate,46,none,own,2,skilled employee/official,1,none,yes,1
428,No account,9,Existing credits paid duly till now,furnitures,1313,<100 DM,employed 7 years or more,1,male single,none,4,"car or other, not in attribute 6",20,none,own,1,skilled employee/official,1,none,yes,1
429,0 DM,18,Has credits in other banks,repairs,1190,<100 DM,unemployed,2,female divorced/separated/married,none,4,unknown/no property,55,none,for free,3,unemployed/unskilled - non-resident,2,none,yes,2
430,No account,5,Existing credits paid duly till now,business,3448,<100 DM,employed from 4 to 7 years,1,male single,none,4,real estate,74,none,own,1,unskilled - resident,1,none,yes,1
431,<200 DM,24,Existing credits paid duly till now,others,11328,<100 DM,employed from 1 to 4 years,2,male single,co-applicant,3,"car or other, not in attribute 6",29,bank,own,2,management/self-employed/highly qualified employee/officer,1,yes,yes,2
432,0 DM,6,Has credits in other banks,furnitures,1872,<100 DM,unemployed,4,male single,none,4,unknown/no property,36,none,for free,3,management/self-employed/highly qualified employee/officer,1,yes,yes,1
433,No account,24,Has credits in other banks,repairs,2058,<100 DM,employed from 1 to 4 years,4,male divorced/separated,none,2,real estate,33,none,own,2,skilled employee/official,1,yes,yes,1
434,0 DM,9,Existing credits paid duly till now,furnitures,2136,<100 DM,employed from 1 to 4 years,3,male single,none,2,real estate,25,none,own,1,skilled employee/official,1,none,yes,1
435,<200 DM,12,Existing credits paid duly till now,radio/TV,1484,Unknown/No savings,employed from 1 to 4 years,2,male married/widowed,none,1,real estate,25,none,own,1,skilled employee/official,1,yes,yes,2
436,No account,6,Existing credits paid duly till now,repairs,660,500-1000 DM,employed from 4 to 7 years,2,male married/widowed,none,4,real estate,23,none,rent,1,unskilled - resident,1,none,yes,1
437,No account,24,Has credits in other banks,new car,1287,>1000 DM,employed 7 years or more,4,female divorced/separated/married,none,4,real estate,37,none,own,2,skilled employee/official,1,yes,yes,1
438,0 DM,42,Has credits in other banks,repairs,3394,<100 DM,unemployed,4,male single,co-applicant,4,"car or other, not in attribute 6",65,none,own,2,unemployed/unskilled - non-resident,1,none,yes,1
439,>=200 DM,12,All credits paid duly,business,609,<100 DM,employed under 1 year,4,female divorced/separated/married,none,1,real estate,26,none,own,1,unemployed/unskilled - non-resident,1,none,yes,2
440,No account,12,Existing credits paid duly till now,new car,1884,<100 DM,employed 7 years or more,4,male single,none,4,"car or other, not in attribute 6",39,none,own,1,management/self-employed/highly qualified employee/officer,1,yes,yes,1
441,0 DM,12,Existing credits paid duly till now,furnitures,1620,<100 DM,employed from 1 to 4 years,2,female divorced/separated/married,co-applicant,3,building society savings agreement/life insurance,30,none,own,1,skilled employee/official,1,none,yes,1
442,<200 DM,20,Delay in paying in past,others,2629,<100 DM,employed from 1 to 4 years,2,male single,none,3,"car or other, not in attribute 6",29,bank,own,2,skilled employee/official,1,yes,yes,1
443,No account,12,Existing credits paid duly till now,education,719,<100 DM,employed 7 years or more,4,male single,none,4,"car or other, not in attribute 6",41,bank,own,1,unskilled - resident,2,none,yes,2
444,<200 DM,48,Has credits in other banks,furnitures,5096,<100 DM,employed from 1 to 4 years,2,female divorced/separated/married,none,3,"car or other, not in attribute 6",30,none,own,1,management/self-employed/highly qualified employee/officer,1,yes,yes,2
445,No account,9,Has credits in other banks,education,1244,Unknown/No savings,employed 7 years or more,4,female divorced/separated/married,none,4,building society savings agreement/life insurance,41,none,rent,2,unskilled - resident,1,none,yes,1
446,0 DM,36,Existing credits paid duly till now,new car,1842,<100 DM,employed under 1 year,4,female divorced/separated/married,none,4,"car or other, not in attribute 6",34,none,own,1,skilled employee/official,1,yes,yes,2
447,<200 DM,7,Existing credits paid duly till now,radio/TV,2576,<100 DM,employed from 1 to 4 years,2,male single,guarantor,2,real estate,35,none,own,1,skilled employee/official,1,none,yes,1
448,>=200 DM,12,Existing credits paid duly till now,furnitures,1424,Unknown/No savings,employed 7 years or more,3,female divorced/separated/married,none,4,real estate,55,none,own,1,management/self-employed/highly qualified employee/officer,1,yes,yes,1
449,<200 DM,15,Delay in paying in past,repairs,1512,>1000 DM,employed from 1 to 4 years,3,male married/widowed,none,3,building society savings agreement/life insurance,61,stores,own,2,skilled employee/official,1,none,yes,2
450,No account,36,Has credits in other banks,used car,11054,Unknown/No savings,employed from 1 to 4 years,4,male single,none,2,"car or other, not in attribute 6",30,none,own,1,management/self-employed/highly qualified employee/officer,1,yes,yes,1
451,No account,6,Existing credits paid duly till now,radio/TV,518,<100 DM,employed from 1 to 4 years,3,female divorced/separated/married,none,1,real estate,29,none,own,1,skilled employee/official,1,none,yes,1
452,No account,12,No credits taken,furnitures,2759,<100 DM,employed 7 years or more,2,male single,none,4,building society savings agreement/life insurance,34,none,own,2,skilled employee/official,1,none,yes,1
453,No account,24,Existing credits paid duly till now,used car,2670,<100 DM,employed 7 years or more,4,male single,none,4,"car or other, not in attribute 6",35,none,own,1,management/self-employed/highly qualified employee/officer,1,yes,yes,1
454,0 DM,24,Existing credits paid duly till now,new car,4817,<100 DM,employed from 4 to 7 years,2,male single,co-applicant,3,building society savings agreement/life insurance,31,none,own,1,skilled employee/official,1,yes,yes,2
455,No account,24,Existing credits paid duly till now,used car,2679,<100 DM,employed under 1 year,4,female divorced/separated/married,none,1,unknown/no property,29,none,own,1,management/self-employed/highly qualified employee/officer,1,yes,yes,1
456,0 DM,11,Has credits in other banks,new car,3905,<100 DM,employed from 1 to 4 years,2,male single,none,2,real estate,36,none,rent,2,skilled employee/official,2,none,yes,1
457,0 DM,12,Existing credits paid duly till now,used car,3386,<100 DM,employed 7 years or more,3,male single,none,4,unknown/no property,35,none,for free,1,skilled employee/official,1,yes,yes,2
458,0 DM,6,Existing credits paid duly till now,household appliances,343,<100 DM,employed under 1 year,4,female divorced/separated/married,none,1,real estate,27,none,own,1,skilled employee/official,1,none,yes,1
459,No account,18,Existing credits paid duly till now,radio/TV,4594,<100 DM,employed under 1 year,3,male single,none,2,"car or other, not in attribute 6",32,none,own,1,skilled employee/official,1,yes,yes,1
460,0 DM,36,Existing credits paid duly till now,furnitures,3620,<100 DM,employed from 1 to 4 years,1,male single,guarantor,2,building society savings agreement/life insurance,37,none,own,1,skilled employee/official,2,none,yes,1
461,0 DM,15,Existing credits paid duly till now,new car,1721,<100 DM,employed under 1 year,2,male single,none,3,real estate,36,none,own,1,skilled employee/official,1,none,yes,1
462,<200 DM,12,Existing credits paid duly till now,furnitures,3017,<100 DM,employed under 1 year,3,female divorced/separated/married,none,1,real estate,34,none,rent,1,management/self-employed/highly qualified employee/officer,1,none,yes,1
463,<200 DM,12,Existing credits paid duly till now,retraining,754,Unknown/No savings,employed 7 years or more,4,male single,none,4,building society savings agreement/life insurance,38,none,own,2,skilled employee/official,1,none,yes,1
464,No account,18,Existing credits paid duly till now,business,1950,<100 DM,employed from 4 to 7 years,4,male single,none,1,"car or other, not in attribute 6",34,stores,own,2,skilled employee/official,1,yes,yes,1
465,0 DM,24,Existing credits paid duly till now,used car,2924,<100 DM,employed from 1 to 4 years,3,male single,guarantor,4,unknown/no property,63,bank,own,1,skilled employee/official,2,yes,yes,1
466,0 DM,24,Delay in paying in past,radio/TV,1659,<100 DM,employed under 1 year,4,female divorced/separated/married,none,2,"car or other, not in attribute 6",29,none,rent,1,unskilled - resident,1,yes,yes,2
467,No account,48,Delay in paying in past,radio/TV,7238,Unknown/No savings,employed 7 years or more,3,male single,none,3,"car or other, not in attribute 6",32,bank,own,2,skilled employee/official,2,none,yes,1
468,No account,33,Delay in paying in past,business,2764,<100 DM,employed from 1 to 4 years,2,female divorced/separated/married,none,2,"car or other, not in attribute 6",26,none,own,2,skilled employee/official,1,yes,yes,1
